show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s645,Movie,Juan Luis Guerra 4.40: Entre Mar y Palmeras,,,,"June 4, 2021",2021,TV-PG,,"Documentaries, International, Latino",Juan Luis Guerra and his band perform a mix of new and classic hits in this concert from the Dominican Republic. Premieres June 3.
s646,TV Show,Quest for the Stanley Cup,,,,"June 4, 2021",2018,,4 Seasons,"Documentaries, Sports","A seven-part, behind-the-scenes docuseries following teams as they pursue the Stanley Cup."
s647,Movie,A Glitch in the Matrix,,,,"June 3, 2021",2021,,109 min,Documentaries,"Are we living in a simulation? Filmmaker Rodney Ascher (ROOM 237, THE NIGHTMARE) wrestles with this existential question in his latest documentary, a multimedia journey that's part sci-fi mind-scrambler, part true-crime horror story."
s648,Movie,Night of the Kings,,,,"June 3, 2021",2020,TV-MA,93 min,"Drama, International","A young man is sent to a prison in the middle of the Ivorian forest ruled by its inmates. As tradition goes with the rising of the red moon, he is designated by the Boss to be the new “Roman” and must tell a story to the other prisoners."
s649,TV Show,America's Got Talent,,,United States,"June 2, 2021",2006,TV-14,1 Season,"Family, Music, Reality",America votes in the ultimate talent show to determine which act deserves a million dollars.
s650,TV Show,E60,,,,"June 2, 2021",2017,,2 Seasons,"Documentaries, Sports",ESPN's award-winning primetime news magazine show featuring the biggest names and the best stories in sports.
s651,TV Show,American Ninja Warrior,,,United States,"June 1, 2021",2012,TV-PG,1 Season,"Action, Adventure, Family","American competitors face the world's most difficult obstacle course in Japan for the chance to win $500,000."
s652,Movie,Bloody Sunday,,,,"June 1, 2021",2002,R,111 min,"Drama, History","Paul Greengrass' ""magnetic and impassioned""* drama is a ""staggering re-creation""** of the events of Sunday, January 30th, 1972 when British troops clashed with unarmed protestors in Derry, Northern Ireland."
s653,Movie,Changing the Game,,,,"June 1, 2021",2021,TV-14,91 min,Documentaries,"CHANGING THE GAME takes us into the lives of three high school athletes – all at different stages of their athletic seasons, personal lives, and unique paths as transgender teens."
s654,TV Show,Drag SOS,,,,"June 1, 2021",2019,,1 Season,Reality,"Narrated by Hugh Bonneville (Downton Abbey), this outrageous and emotional series follows inspiring drag queens Cheddar Gorgeous and Anna Phylactic along with their authentic drag family as they embark on their first ever glamorous national road trip. Their aim: To unleash Britain’s inner drag – and help ordinary Brits go on a voyage of self-discovery as they transform into a bigger, better, drag-enhanced version of themselves. Funny, glamorous and razor sharp drag queens Cheddar Gorgeous, Anna Phylactic and The Family live in Manchester where they host the monthly “Cha Cha Boudoir,” and teach unconfident and uncertain guests how to dress, make up and unleash their inner diva, a journey they’ve made themselves. Drag is about finding your most glamorous route to self-confidence and The Family tours Britain in their bus to work with people with their own stories to tell. Can they convince the unconstructed man, the downtrodden woman, and the anxious teenager to come together and unleash a new side of themselves? Each show sees them work within a community, leading to a huge lip sync performance, in front of family, friends and the locals from the town who witness a transformation they could never have imagined."
s655,Movie,Fun in Acapulco,,,United States,"June 1, 2021",1963,PG,97 min,"Comedy, Music",Fun In Acapulco portrays Elvis as a sexy lifeguard by day who transforms himself into a popular entertainer at night by singing at a local Mexican resort.
s656,Movie,Hanging Up,,,,"June 1, 2021",2000,PG-13,95 min,Comedy,"Moving comedy/drama about three sisters (Diane Keaton, Meg Ryan, Lisa Kudrow) and their relationship with their irascible father (Walter Matthau). Screenplay by Nora & Delia Ephron. Directed by Keaton."
s657,TV Show,HouseBroken,,,,"June 1, 2021",2021,TV-PG,1 Season,"Adult Animation, Comedy, Sitcom","""HouseBroken"" is an animated series following a group of neighborhood pets and stray animals as they work through their issues inside and outside their therapy group. Honey, a standard poodle, opens her living room for the group to come and support each other through the misery, mayhem and majesty that is being a pet. Honey also struggles with her own problems, such as her arranged (by her human) marriage with Chief, a sloppy St. Bernard who enjoys eating socks and licking himself. The group includes Shel, a sex-positive tortoise with intimacy issues and a knack for choosing unconventional partners; Tabitha, an aging Persian cat beauty queen, trying to adjust to life off the cat show circuit; The Gray One, a street smart cat who lives with about 30 other cats and has his one eye on Tabitha; Chico, a chonky, co-dependent and very naive cat; and the group's newest member, Diablo, an anxious, sweater-wearing terrier who has an obsessive compulsive disorder."
s658,Movie,Hud,,,United States,"June 1, 2021",1963,TV-14,112 min,"Action, Adventure, Drama","Life is hard on a Texas ranch, and the owner is not helped by his arrogant ne'er-do-well son, who is a bad influence on the household. The winner of 3 Academy Awards including Best Actress."
s659,TV Show,Inside Missguided,,,,"June 1, 2021",2020,,1 Season,Reality,"Nitin Passi, CEO and Founder of Britain’s fastest growing fashion brand, has set his sights on becoming the first British Asian Billionaire. To get there, he and his predominantly all-female workforce must take risks. But after eight years of enormous success, Missguided crashed. They lost £26 million in 2018 and Nitin is now spending more than ever before to bring his business back to glory. This is an exploration of one of the UK’s fastest growing and most profitable industries: fast fashion. An industry that’s dominated by young entrepreneurial British Asians. Whilst there’s an extraordinary story to be told in the success and future plans of Missguided, there’s a cost beyond the price tag. The company must address the way it operates globally, and how to move forward in an everchanging, ever-ethical clothing industry."
s660,TV Show,Into,,,,"June 1, 2021",2020,,1 Season,Documentaries,Documentary on the world of BDSM and kink.
s661,Movie,Last Chance Harvey,,,,"June 1, 2021",2008,PG-13,93 min,"Drama, Romance",Legendary Oscar(R) winners Dustin Hoffman and Emma Thompson star in this story of unexpected romance set in London.
s662,Movie,Revolutionary Road,,,,"June 1, 2021",2008,R,119 min,"Drama, Romance",'Titanic' stars Leonardo DiCaprio and Kate Winslet reteam in this acclaimed drama about a young couple's crumbling marriage in 1955.
s663,Movie,Rules Of Engagement,,,,"June 1, 2021",2000,R,128 min,"Black Stories, Comedy, Drama",Tommy Lee Jones and Samuel L. Jackson star in this riveting saga of a veteran Marine who is made the scapegoat of an ill-fated mission.
